Ex. 1 Part (A) (B),,,,,,,,,,,,,,,,,,,,,
Value-weighted,,,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10,Mkt-RF,RF
193605,-99.99,4.63,5.51,5.21,6.24,5.72,6.46,3.91,5.32,7.1,5.95,3.36,7.29,7.32,5.95,4.03,3.84,4.89,5.42,5.19,0.02
193606,-99.99,-1.7,0.31,2.81,-1.3,-0.78,0.1,-0.14,3.08,-3.45,-0.56,-2.02,0,-0.6,0.52,0.62,-0.6,2.04,3.3,2.4,0.03
193607,-99.99,7.62,9,6.43,8.69,9.35,9.12,8.23,6.3,7.74,9.03,6.85,10.95,8.96,9.23,8.33,8.17,5.5,6.47,6.67,0.01
193608,-99.99,1.08,2.96,0.81,2.89,2.08,2.69,2.57,0.7,2.93,2.87,-0.23,3.52,2.44,2.86,3.11,2.24,1.23,0.59,0.99,0.02
193609,-99.99,4.34,2.85,0.81,5.53,3.35,3.63,2.64,0.63,5.45,5.56,3.44,3.29,4.7,2.91,1.86,3.12,1.7,0.42,0.98,0.01
193610,-99.99,6.65,5.44,7.48,7.09,6.57,5.25,6.32,7.52,6.16,7.43,6.31,6.72,4.44,5.81,5.28,6.96,6.12,7.81,7.12,0.02
193611,-99.99,12.03,7.55,2.68,14.37,10.57,8.98,5.44,2.44,26.29,10.18,10.23,10.77,10.72,7.79,4.98,5.71,2.78,2.37,3.27,0.01
193612,-99.99,3.42,3.18,-0.2,1.96,4.92,2.86,1.82,-0.31,5.86,0.38,4.58,5.12,4.01,2.05,2.95,1.14,1.09,-0.59,0.21,0
193701,-99.99,11.46,6.17,2.9,12.67,7.96,7.32,4.5,2.78,17.27,10.73,10.5,6.48,7.82,6.97,4.72,4.37,2.68,2.8,3.35,0.01
193702,-99.99,4.68,2.82,0.89,7.1,2.34,2.57,2.75,0.77,5.88,7.64,2.71,2.12,3.44,1.94,3.34,2.39,2.06,0.5,1.09,0.02
193703,-99.99,0.22,0.49,-0.42,2,-0.63,-0.04,1.22,-0.55,-1.04,3.34,-1.36,-0.2,0.34,-0.32,1.36,1.14,0.93,-0.85,-0.27,0.01
193704,-99.99,-13.87,-9.17,-6.98,-16.85,-12.04,-8.73,-9.41,-6.73,-16.16,-17.14,-11.14,-12.55,-9.73,-7.99,-8.62,-9.9,-7.21,-6.63,-7.36,0.03
